,Taxi_ID,Timepoint,Latitude,Longitude,Speed,Status
0,101,2022-05-09 06:00:00,24.604340494179095,118.05868098835819,51,1
1,102,2022-05-09 06:00:00,24.57783693850938,118.00567387701876,57,1
2,103,2022-05-09 06:00:00,24.592451759074912,118.03490351814983,46,1
3,104,2022-05-09 06:00:00,24.63447761323199,118.11895522646398,51,0
4,105,2022-05-09 06:00:00,24.550471885619096,117.9509437712382,55,1
5,106,2022-05-09 06:00:00,24.56215691207831,117.97431382415662,49,1
6,107,2022-05-09 06:00:00,24.617074908472677,118.08414981694536,53,1
7,108,2022-05-09 06:00:00,24.632585275510504,118.11517055102101,48,1
8,109,2022-05-09 06:00:00,24.563670658968494,117.97734131793699,44,1
9,110,2022-05-09 06:00:00,24.607509332942726,118.06501866588546,48,1
10,111,2022-05-09 06:00:00,24.639132195431227,118.12826439086246,40,1
11,112,2022-05-09 06:00:00,24.570920212211718,117.99184042442344,54,0
12,113,2022-05-09 06:00:00,24.568532821955007,117.98706564391001,45,0
13,114,2022-05-09 06:00:00,24.560837689046426,117.97167537809285,52,1
14,115,2022-05-09 06:00:00,24.5719697492625,117.99393949852501,48,0
15,116,2022-05-09 06:00:00,24.647862378470737,118.14572475694148,57,1
16,117,2022-05-09 06:00:00,24.63116831490893,118.11233662981788,59,0
17,118,2022-05-09 06:00:00,24.56719410127326,117.98438820254653,55,0
18,119,2022-05-09 06:00:00,24.631622474872582,118.11324494974518,48,0
19,120,2022-05-09 06:00:00,24.57740737470417,118.00481474940834,59,0
20,121,2022-05-09 06:00:00,24.593170418366313,118.03634083673263,59,1
21,122,2022-05-09 06:00:00,24.644002981962235,118.13800596392448,42,0
22,123,2022-05-09 06:00:00,24.631764937877673,118.11352987575535,52,1
23,124,2022-05-09 06:00:00,24.58361119501209,118.01722239002419,48,0
24,125,2022-05-09 06:00:00,24.567541045374234,117.98508209074848,59,1
25,126,2022-05-09 06:00:00,24.587283204628992,118.02456640925799,50,1
26,127,2022-05-09 06:00:00,24.550568850735257,117.95113770147051,52,1
27,128,2022-05-09 06:00:00,24.575242635344484,118.00048527068897,51,0
28,129,2022-05-09 06:00:00,24.62956625084733,118.10913250169466,40,0
29,130,2022-05-09 06:00:00,24.551525497124633,117.95305099424927,49,1
30,131,2022-05-09 06:00:00,24.609884337692847,118.0697686753857,49,1
31,132,2022-05-09 06:00:00,24.610380453904284,118.07076090780858,55,1
32,133,2022-05-09 06:00:00,24.560514768541207,117.97102953708242,48,1
33,134,2022-05-09 06:00:00,24.588194344494312,118.02638868898863,44,0
34,135,2022-05-09 06:00:00,24.553647605659258,117.95729521131852,59,0
35,136,2022-05-09 06:00:00,24.639041156344206,118.12808231268842,43,0
36,137,2022-05-09 06:00:00,24.64809208570123,118.14618417140247,47,1
37,138,2022-05-09 06:00:00,24.555994198881805,117.9619883977636,50,1
38,139,2022-05-09 06:00:00,24.63905459447285,118.1281091889457,47,0
39,140,2022-05-09 06:00:00,24.60769014994,118.06538029988,46,0
40,141,2022-05-09 06:00:00,24.624247968909796,118.0984959378196,54,0
41,142,2022-05-09 06:00:00,24.613018393647536,118.07603678729508,49,1
42,143,2022-05-09 06:00:00,24.608184219239877,118.06636843847976,58,1
43,144,2022-05-09 06:00:00,24.55204391320269,117.95408782640538,47,1
44,145,2022-05-09 06:00:00,24.571002657767288,117.99200531553457,47,0
45,146,2022-05-09 06:00:00,24.604468487817865,118.05893697563573,55,1
46,147,2022-05-09 06:00:00,24.626911517110564,118.10382303422114,52,1
47,148,2022-05-09 06:00:00,24.57506952291384,118.00013904582768,40,1
48,149,2022-05-09 06:00:00,24.578589569040687,118.00717913808138,50,1
49,150,2022-05-09 06:00:00,24.635239508784128,118.12047901756827,52,0
50,151,2022-05-09 06:00:00,24.64750064936066,118.14500129872133,57,0
51,152,2022-05-09 06:00:00,24.63848532934911,118.12697065869823,51,0
52,153,2022-05-09 06:00:00,24.58595078439369,118.02190156878738,59,1
53,154,2022-05-09 06:00:00,24.609885894587574,118.06977178917515,55,1
54,155,2022-05-09 06:00:00,24.58547956116573,118.02095912233146,41,0
55,156,2022-05-09 06:00:00,24.584019021537063,118.01803804307413,44,1
56,157,2022-05-09 06:00:00,24.567808098950582,117.98561619790117,59,1
57,158,2022-05-09 06:00:00,24.573769420862405,117.99753884172482,58,0
